"url","C0 value 1","C2 image","C2 image_alt","C0 value 2"
"https://goo.gl/CA32ug","Nandi","https://lh5.googleusercontent.com/ValuOOpQCai2twVXM4H-5E0cwmpTlvshNJTyWhx1I2OiTjgmB22oaQC-2VC7f3kCdyZwkq4eYRfenuY8TIvOLqVUlQAzZ8yzywHpieX7oOqqB2qN9j7BBXup_fPAmA1jxid4bGYQ","Dr.-Cleophas-Lagat1.jpg",
"https://goo.gl/CA32ug","Lamu","https://lh4.googleusercontent.com/BsZfVuJPFHvgYFK4ifj05IEZ8cSQEW6sJ8-WFcTHnSXMMPoWudYZBgI3qzSAJ4ftW2Qsl4F7we0U051p38T4if_VncAgWZMyP68whep8zh8LrR3VnSSqU-LEdGamS8SIc7mNP8-T","h-e-issa-timmamy.jpg",
"https://goo.gl/CA32ug","Migori","https://lh6.googleusercontent.com/Cnsx1u7oExyywkuv-waR12qV1Xpf5w32rvGTu7TnKLoJ-dDGZG2ljVWXqt-Yl3V0ukaLwraZwCyIbA9MVyArHrkYTtsSq1m7_OnjY7qt0ro0NeVHCan_aJl75qzcwVoYZ7HNR0me","zachary_obado.jpg","Zacharia Obado"
"https://goo.gl/CA32ug","Uasin Gishu","https://lh5.googleusercontent.com/D67c_cHeng9O5duejTNHfT6ryBNLNHtw7TxjPJQ2foqJ0Y1MW21u0gUy6XCf3iTC_isZP4zxeQ-wfmHTazGpNcxah0hxazmUux0VXNi3OKBNTbuQzsuTqEIra5tgUU3q-dUjghkC","gov.jpg","Jackson Mandago"
"https://goo.gl/CA32ug","Tana River","https://lh6.googleusercontent.com/hK5siAM-1F-voG4JK3Ph09CNaBQh2wC9OkbYAbNFPXCpC_g_4rqdQlpmPGbkt2gkwu44gCzZNE8AbirygPquRcGiX8nIpvxJIUWqrfk-wiZHaddZhXge3SuFkJz-c_LFnczemWkJ","maxresdefault.jpg",
"https://goo.gl/CA32ug","Nyeri","https://lh6.googleusercontent.com/0HujNcyyWd4B_IsrevMl0zEuPoQwelO62Y1GVgevtS9yG7I6Y0eJu6IAOo1J4YYBaJtrOFnRcowM_2wNg91vxHvg1sF5uVylX5vc_nbeGQeMbUapZGpcYSusDhGZ13TFot_goMRy","mvLgXyhP.jpeg","Nderitu Gachagua"
"https://goo.gl/CA32ug","Kajiado","https://lh4.googleusercontent.com/i2owwvhNkPo9dAf3vz9gZqb7I_V8bUJNrNIbz0GL5Z-P9jbEN_4boJQKgLfihXoFYvlGDjBPi7T4OZ4jTpjlE_fHW_OvZ3wzjehEF4WwlxmKVc4Cui_5rcfl3i_fKJsMZI1ael_I","gov1.png","David ole Nkedianye"
"https://goo.gl/CA32ug","Nyandarua","https://lh5.googleusercontent.com/G61nokiALalAFQqhWBQVi8hjzHaE5NnkFSpf58xk3m6R0dwRlYPOKP04az9JBnGRshOzuaqskmc51xlIfcAYeN_Ym2_nPYLEB6K4E5hkpUGXHN3_UhbX5OllFVjdLeiLTkRxYTQ1","H.E-Waithaka-Mwangi-profile-photo-4.png","Daniel Waithaka"
"https://goo.gl/CA32ug","Homa Bay","https://lh6.googleusercontent.com/BqmLSPoypVXGL6qSgkG-2scpNtfgqv3fJDqfOaReYA8vCqw0IvlVX73TD4RoVSm1jx6BbpZn36II2zQp5g_QlkwO1AOA5QWknGGOiQI1i3pxqNiCuXj9-VC4GbWvYgPCV96M8JN3","H.E-Cyprian-Awiti-Governor-Homa-Bay-County-Government.jpg","Cyprian Awiti"
"https://goo.gl/CA32ug","Kakamega","https://lh5.googleusercontent.com/_UZVw3lR7dwoiBks5VsyZHce6Hqtw02i1ctRMmla387PODBrsygQQGX_QGPuTgrC-nI8Q31BznIS-hcR6ecqfjSjgfT6xJErv80vmvdN_i6EK0RLMeFDh3RZLfMXSLpIvx5LbFAt","oparanya.jpg",
"https://goo.gl/CA32ug","Busia","https://lh5.googleusercontent.com/ld3qkoMEv71SLoNyD4Qp_AMMVBRjnk32K6f3Uonyr65v5MZS7ekq1EjZXcDXt7owlyHTAdoimPrK_2awOIYP7xTF91atN8nj-oJ2G5pddrweaZHg-T5ECFUAFC4yQUnXMUhW2m3s","91b7ecdd988793ab7cc020a4f883ff8f86d4cba7.jpg","Sospeter Ojaamong"
"https://goo.gl/CA32ug","Meru","https://lh3.googleusercontent.com/yfyh9pMSb1MfugaRrWdeUDCfN66MKUEbtHpD0kbDixAtWbrsQtVIRBcTdWjtRCNPyIjfmB1FWwkY98azwHeuo7shUEC0DnD_Dk3JOVNw6MrIobgGXqPUx4p9hcNW_KkMFMG88oBM","H.E_petermunya.jpg","Peter Munya"
"https://goo.gl/CA32ug","Kirinyaga","https://lh4.googleusercontent.com/Sy2GTPH33cDpUmF5qKHr6wJD1NfdoLwT0rOM-5LCf7KlQuS94OmpEwN7_mBtJsjrHXeiBohW3VP8wfZazrx3ji2Vm2st-2jB7LINL_tOQ7J7QBghLpCIRU9XfZRp01DUfjOzdQNc","gav.jpg","Joseph Ndathi"
"https://goo.gl/CA32ug","Baringo","https://lh6.googleusercontent.com/GIVAqqYQxHXrpwNAj__JuRBKFtXwZMH8aNu30DnHO37ichCsKYYIhZPMcUEbtMr17fAC9r_wF7ubwLQSRiMmakX0SBc9pcFt32hnrAnXTdN5PJ79dUGbX3VGly2He8Uj88SaRp8T","baringo-county-governor-he-benjamin-cheboi.jpg","Benjamin Cheboi"
"https://goo.gl/CA32ug","Trans Nzoia","https://lh6.googleusercontent.com/3V4GaSn2Lv5aXwrTT9wJzYNW6x9vma8OsxCMwF98hSHY_lQ9V6HKgttLVU3qyaj0Vxt-PHczWgu3N5FxSunaoj_hD2jFaT4TVubCUEGfOe_p-_4c32BjnAPF7pq2Pid7bQNe5jy1","Hon.-Patrick-S.-Khaemba-The-Governor.jpg","Patrick Khaemba"
"https://goo.gl/CA32ug","Turkana","https://lh3.googleusercontent.com/c-Ugs_6xKWy13fkavlctB1cqhHIhXyPxfyaCogMV89RIXipXjbJLmTQPGMeCHhWjbF8da1qGz0MQt_SiGgSFMMW-gh4WQaKyF979R_8NDlbb8WqsaBfyJCA2b29VNoMjCAdKmgc-","governor-300x295.png","Josphat Nanok"
"https://goo.gl/CA32ug","Kitui","https://lh5.googleusercontent.com/PGRN4e7lTaeYIQ3xcrbkkbEjMWZJbmsb83ceUv3K2f8Usz5SXkU96j4zc2ezSY557xr2dpfAmoIo5wl4jwqilWcVc-eqzphN8hdI1UIKEMm0MRbpfj43N_-YXzdnKGDR6_RBAxbz","H._E._Dr._Julius_Makau_Malombe_.jpg","Julius Malombe"
"https://goo.gl/CA32ug","Mombasa","https://lh3.googleusercontent.com/HKihQzDTft9K5JywpaKknelCyKc8R_8GYa5SSw4LP3DLsfBnTFDYiJkpqMEhHGUxB3JfAHr4aMuiOw-VyhVgVjZ-v-E2E6ZGdXiaiJg54D9Tz3pij_SNo0OhluoD2KU-4_vX99Ec","Ali-Hassan-Joho.jpg","Ali Hassan Joho"
"https://goo.gl/CA32ug","Machakos","https://lh3.googleusercontent.com/V2HezeZjILW5lcy412_PiFvw2Dkwv0v34CDqDVPsxmw9aNNDFTfQ2HnNhV8XRZSGacHO5nk_JsNPqdlYtr0mtxZ8aHXPx410c68N8UJxBei9VL1K7SB0erIBcdKMy5ON8grgtucu","25cca8f361c980ab66d4834c8dd47ad1.jpeg","Alfred Mutua"
"https://goo.gl/CA32ug","Bungoma","https://lh5.googleusercontent.com/vx54CDIOSPQhCX-8GGzEq5YH3CTYfh79RIClrj3TzXiijXGMQjsFWrGlfVFKcYIxHllbfc8ebqUbXE0sQMn1CyYEj48zLSj8ZkBg5vl9BJIE7gdVx-pnhw9cII5vABIKd9NM3-bR","Governors-Portrait1-275x300@2x.jpg","Ken Lusaka"
"https://goo.gl/CA32ug","Vihiga","https://lh4.googleusercontent.com/rhPMbCfRgkDyMtlzA6iCBdAAgInWB2aWJCHwhGJZaq51CSU-HckvoM3FHch4GwNmylB6lshJtBdkvNuS4_266UAfcl_qVqktSDTrri-6RJQTrP2nz-HSdmI2bFrAXKELU_D-ZW2P","mosea.jpg","Moses Akaranga"
"https://goo.gl/CA32ug","Mandera","https://lh4.googleusercontent.com/1RDC_Z8fN2R81Uu_u2IYMPa5XZbjU-uaBTwQ96IQYfwYEPsKakK-2-DceVX4q3mrUw5dc7zZNsdV-ZfW8ux7xOv_Wu6xLg0f6MVTkb1VTU4TL3eMToavQQPL0mC08Tml1Vo88yLe","governor2.jpg",
"https://goo.gl/CA32ug","Garissa","https://lh4.googleusercontent.com/6vml2pITMvJzy1x4mRuPa913TfrCfPCxb3zgeaStMeyQejJFIRtj11aE-rXK0suNXguvazuGhrAbO5gXvq0q6CqUa9j7kPy8nQwfhzcoFafK-eBsX52XF4eW7J4Q0htpVI4ijXW5","Gorvernor-Nathif-J.-Adam1.jpg","Nathif Jama Adam"
"https://goo.gl/CA32ug","Kiambu","https://lh4.googleusercontent.com/TXSgOLH--OZ7HhVtM08jIyxfxJXmei_AsH_A0BfVHQy2XaXnIdk9QRpBFEo7dXmFv6vo-68rq5ObmL6Q4gr8QFzF4cWu2oYBzdgqY1i3PljCl4QiUJgoR9fVVvN85KmtLnb_g1XZ","kenya-kiambu-county-governor-hon-william-kabogo.jpg","William Gitau Kabogo"
"https://goo.gl/CA32ug","Murang’a","https://lh3.googleusercontent.com/JG683Tz5OFJI0NWbi_Gs5Fe3Fq282yE-lp98iFVbJq8DVZ_T3C_zeP62i21aJ5nLALg9BE7f6RZQDImOXst8cBvbNRpWgmqqPK5FcUO34dRc7vImVY2i3APyCM1Dcbo9pm7Bvspp","984242_204034929747542_1643297127_n.jpg","Mwangi wa Iria"
"https://goo.gl/CA32ug","West Pokot","https://lh6.googleusercontent.com/km5LYFLcOeDhzkobXpMp_EXsf0CMKbE6YO39KyS5PC1ReYD0RYJGrhw75gz4bybaWjXldKF314aCO07eCwZbDW9u6Du_ZWvgSMU1UhGir-AXuGvvpEzzxls7s2DpLI1e44PPnLIm","socagov.jpg","Simon Kitalei"
"https://goo.gl/CA32ug","Laikipia","https://lh5.googleusercontent.com/5faV1Nt0FX6fAdj1HQHeD9Z8EDugAAh89NHBvbY1YJDyaKXsg4eCrlVSriHrBqNju5b2gMQXiOQsSPUR3hEOWWmG3OunAwue9OTiLdY5687J8fNentvu4BvcIY9b-Zlke3HEmgfO","od_slfao.jpeg","Joshua Irungu"
"https://goo.gl/CA32ug","Kisii","https://lh6.googleusercontent.com/5pkXHB673QbLSS5QW4QneyKbpWgbVpHg4l423W0v445pmF406UmywroLxhQeiFTfkUl9jwuwuZwH7tylbmSXY2aL_H3dC-dTmC8Th8Q5GBuJePG5j3rtg7XqGXTSkZOSKZROGoJx","5467774f5535dc0e0bd116e89a59b7ab_S.jpg","James Ongwae"
"https://goo.gl/CA32ug","Bomet","https://lh3.googleusercontent.com/ljE0cn19q7rQZSFBx88v-0ee9rS-PnBckgmnMB4KfrdeOpBarEQmkpkmiVpJklrpoqnXKB4HouuU_k1U6lK-Il0SjS8plQ38AqqZ_iOmgCHuQKHowWO6pC_a5yHoa0BlL81x5yuO","90ce77a7d3bf53a6a4db002302371bab318cd057.jpeg","Isaac Ruto"
"https://goo.gl/CA32ug","Embu","https://lh5.googleusercontent.com/ccyUwrHdXSxN32xStniZf09bFpSI7Pq0bfk_qGzoYgKJEGvOg0ZaJM_RkHuckJp04a0PZ-iqnjC0bwuq-WkXp8-adk-muZV321gB5KjmdTigJ97uMtvZ7t5xxTy2bEaghXbgE9Gn","Governor-Wambora-at-work.jpg","Martin Wambora"
"https://goo.gl/CA32ug","Marsabit","https://lh6.googleusercontent.com/9zAMgYF80iJgVEVt1t3TyDkC7VJD4WCaeHxroz2d6Vhf3ojopB5IEXv9YWaZ1v9-uYqTOSlV--FcGM-6gyPoKdpZ8OecAYLhidpLJwkB6L3565ebzfRTew3nH2TZqhYgk_5zxMDV","IMG_9837-0012.jpg","Ukur Yattani"
"https://goo.gl/CA32ug","Wajir","https://lh4.googleusercontent.com/ZkI0BCPHKFBmVBMVAS9J2f5DhCRM1r9XyWmkROz3Lr4WUvnZ82ozST3gZmofaDVTZOGtL_DrPFQskiPjVeGTiBnH6ogX5driX-IF2EbgpPa9Lak6-cPoXT1ayIjm8fdJE09NivM5","gov.png","Ahmed Abdullahi Mohamad"
"https://goo.gl/CA32ug","Kisumu","https://lh6.googleusercontent.com/cJ7w41uF7ttNSfKyRaY2cvzxxrDZZypYRn6SDy8pVwSrFy7JuGFk5FYWqd_7dZSDlQoWTX5wl1EAarzC_QzUF8cIUNp6ipyDBV2msmEffsIVlZo44JgGFzaDmJhCMT5pEa4jFAwO","1431686684.jpg","Jack Ranguma"
"https://goo.gl/CA32ug","Nyamira","https://lh6.googleusercontent.com/3j86X1K_1U39NFAoFWIDCe5wUiJROdg2r-TCIhLfHmvh9WRN3vEq0z5Ow8y3wp7MfWK4WJn-BB9UXB0k71kqFKjwI69tMZK9bHEgJL2kFPLRvyL9XyN7E_48cigiRR8_LJ9CMhQW","images10.jpg","John Obiero"
"https://goo.gl/CA32ug","Nakuru","https://lh5.googleusercontent.com/DogSOHlHwCMA3S9q-cCoZx5kvvLyEMfdrzz7BCNqAeig8h-DMTnMsyrYMV2oYaqm6UkLo7foWmvqmxhPd9OZmbDL1cmWSnIUQdtq7XP_i0_TEz2XS06KMqdHjZOZg7fN4kQIpqP0","Nakuru-Governor-Kinuthia-Mbugua-700x445.jpg",
"https://goo.gl/CA32ug","Kilifi","https://lh5.googleusercontent.com/hhL3lV4_dTXTbd216bqHcX9a1nwItd5djSpvc_23G5ALBVGsABsBOTO3_G5arLkmoxyuqW27IyLJ_7x0TZwLTxBcOOCzWPYpBvICUuSgibgKn5wx9ekYd3jIpp8QJIGdu7Vng1op","governor_kingi.jpg","Amason Kingi"
"https://goo.gl/CA32ug","Elgeyo Marakwet","https://lh5.googleusercontent.com/vzdcHna91L2A-Ctj5x26RJ-W7AdfSjElG3EAWOuNN6CaxooWS15WhFO4Yu-6zaoXP0V9zYsBE6kg1ggJKfqbAO0tBCBgP5d_KpYJQbpEfC-aI-0znf4EHaVpQj-u5WwiXIU4W7vW","Governor.JPG","Alex Tolgos"
